Actual,Predicted
36000,35773.2
11694,10694.434
6989,8437.483
6938,7497.55
7609,7365.88
8238,7832.129
41315,30706.664
6295,6182.902
36880,31152.934
16430,16033.116
9279,10137.284
6692,7169.301
16503,18890.94
45400,36851.168
9538,9842.466
5399,6171.2036
7898,8103.739
6669,6849.1113
6229,6505.2646
6189,6557.591
11199,12672.159
10198,9679.498
34028,33236.465
11900,15289.568
5389,6426.6514
12764,15404.833
6692,6706.0835
11549,13913.76
28176,28802.068
7898,7185.8438
8921,9150.577
15998,17466.754
6575,6409.7075
8949,8831.558
7975,8397.23
15250,15018.346
8449,10352.559
8778,12412.056
16558,17466.754
