Actual,Predicted
848,1710.9402
1504,2507.4583
2607,2230.1887
6053,4223.482
393,2115.7966
12655,4875.6772
1500,2500.983
4186,3128.5664
3724,3347.3333
5182,4150.074
2304,3564.7761
1583,3115.5645
2292,2824.3752
1880,1797.8865
2545,3022.3289
4368,3723.0508
3889,4402.5303
1267,2293.0986
1668,2406.4749
2102,3350.5474
8758,6726.9194
7589,4313.442
1300,1560.4703
759,1536.3229
6068,6620.753
4435,3400.8953
4505,2551.4448
1513,1938.7319
736,2582.453
132,1219.7812
2302,3048.2056
3215,2634.6138
3935,2353.789
1319,3327.1108
5207,4699.262
2531,2487.873
792,2417.4119
1295,5130.1064
553,3201.4922
2901,3198.8945
4034,4117.237
1684,3488.7095
460,992.98334
4677,3036.5332
1083,1605.8893
3267,2849.6125
1356,1177.6309
5498,2692.3442
11116,7408.846
9621,5754.706
6483,3406.3845
2444,2637.1562
1341,1746.2468
1596,2119.8909
2429,2864.1719
1967,2521.0515
3224,5249.195
3563,5356.3765
9377,8579.505
4512,3447.109
484,857.90106
7582,5780.1606
4792,4734.506
1295,2094.5305
10266,7069.872
2264,2419.2869
886,4507.6235
149,896.3112
2147,2702.6262
1609,3326.7026
1192,1583.6888
1649,2082.093
1211,2070.0627
1145,1122.3049
3194,2808.6035
4663,2588.4043
1324,2109.2146
6581,4728.8306
10848,8660.251
5296,3436.9668
6808,4179.1904
9680,8436.317
4097,4951.2104
4076,3762.069
1627,1766.6597
3956,2810.117
526,2224.2012
1356,2522.9233
10640,9553.772
6068,6840.2676
689,2110.25
4769,3015.7397
3082,3044.9614
4424,4035.391
1015,2006.4342
711,2717.6062
7195,7814.668
1380,2178.4243
3047,2317.7788
2462,2832.9146
1109,4551.704
5450,5656.0
1720,3234.5134
1298,2017.3986
1783,3324.418
8510,4194.5806
2157,1480.3602
2102,2422.6233
298,587.4737
4528,2641.447
3321,2609.4917
7376,4273.7627
1452,2637.6658
7350,8015.1104
2919,3565.7751
1956,2325.765
406,1639.0369
2446,3251.5679
806,1330.5236
2502,2653.9155
2495,2937.0886
739,2518.911
4358,3056.8674
3884,3766.1082
1245,2810.8677
1976,1003.0562
3535,6781.184
2242,2593.4692
1519,1954.1094
2745,3261.6646
652,1936.058
5857,4370.6255
3696,3426.0103
2715,3165.2402
2069,2603.5266
1733,3998.083
1193,2092.6118
1453,1972.2073
2738,3861.9082
2600,3006.4978
3431,2474.1194
4415,4581.524
4224,3658.2185
4397,4166.7017
3302,3580.2888
6184,4422.2964
2477,3265.7354
2442,2622.8472
2833,3410.3206
92,835.8167
1678,2845.4731
2268,2114.6458
3353,3062.958
1510,2377.073
9125,6079.9688
556,1445.2593
6218,5213.1157
328,1882.3251
754,3047.8835
4970,4907.5024
10452,8423.25
6704,4496.9966
2328,3652.6086
1125,2543.9688
7487,5346.5024
1743,1565.3622
529,2242.9556
4662,6006.1133
6984,4157.823
1643,1386.9199
2132,2616.888
1392,1979.884
6343,5382.699
4519,4296.2188
1555,2193.6694
3144,3198.8945
902,3560.614
4915,4993.501
4939,2576.5205
3267,2896.6897
5512,4275.8105
4711,1734.9631
3886,3111.0159
11916,5374.671
6424,4869.666
2260,2900.443
2271,2529.9766
547,1483.7439
10308,7546.6973
2662,2094.7532
3682,2588.8843
3852,2699.4841
1791,2547.2258
4713,3202.4868
4689,4556.5767
2354,2549.5654
2355,1190.7703
2179,2631.453
