Actual,Predicted
0,30.152014
253,424.5718
3153,3594.7544
2,28.583673
0,-14.652822
2203,2052.3716
697,1035.3774
566,493.28452
4077,3647.6401
1,-63.15363
3945,3964.6855
3519,3595.587
0,-38.238144
0,-28.911678
1661,1439.6765
0,-48.41032
4488,4174.1123
2,37.738388
0,-63.229385
2755,2424.3464
1508,1264.4315
257,209.2894
2,21.11675
1829,1511.1007
786,657.9391
31,52.752544
2239,2151.6255
333,261.61136
23,77.60692
807,1214.3733
4,-13.547347
0,-35.190346
1,-5.7970324
3772,3974.8977
3271,3007.9036
646,1022.2985
2477,2508.3833
2029,1743.9319
2,33.93595
2055,2150.1304
1,-33.274944
2944,2895.8987
0,-1.81935
0,15.140175
4344,4258.9717
7,41.708206
2481,2208.2285
1295,1602.6537
0,10.695247
1,-38.760494
3020,2969.0583
0,1.9710343
1,142.51099
5,42.662437
553,803.2828
2028,2345.4934
2420,2053.6162
1522,2117.8127
0,-14.768696
2225,2246.2112
4,116.053986
3047,2652.901
1479,1590.561
2810,2845.0493
3194,2941.583
3109,3095.0508
1133,1392.1742
1,14.272358
0,16.14175
1648,1451.9895
4018,3588.5142
1732,1660.8646
686,497.81998
0,7.5932083
1748,2037.2699
216,138.63127
1,56.998543
2685,3170.799
0,10.376339
1106,710.08105
1,84.71329
2683,2642.108
0,-85.40747
0,24.048384
69,158.41016
225,321.0031
0,-42.4602
0,4.21968
3191,2876.5928
1,60.55044
3279,2945.7239
295,525.4696
3280,3071.9912
474,462.85968
623,700.8198
2587,2570.864
1034,977.5924
0,18.384993
2812,2524.3462
0,-7.2351737
3290,2589.367
0,3.2368853
14,-8.445101
1,7.5217075
3149,3096.3342
907,1745.3168
258,343.70087
1179,1058.6064
337,205.92294
3095,3498.1714
1,124.3533
538,406.52292
2785,2881.5588
0,-27.308228
2441,2639.0327
1,2.1973512
3440,3365.4836
2322,2849.649
1022,849.1664
1179,1049.0804
1956,1716.4666
1617,1579.6399
2503,2406.1038
3,-10.106812
2454,1860.4475
1991,1671.7283
19,49.455276
595,480.68365
0,-48.122475
3904,3879.362
1,39.860683
1414,1421.6229
2883,2886.8184
835,763.47797
266,147.51247
1599,1410.51
24,36.734013
0,-17.181702
24,60.245262
3768,2878.7239
4059,3928.9395
0,-22.234388
0,-83.83354
0,17.333267
0,-19.787987
809,840.3587
2491,2669.8103
1067,936.0052
1931,2062.4011
3335,3094.9446
0,-11.142543
12,82.232155
0,6.327496
1816,1464.4213
3539,3777.6406
1473,1297.3676
1,-82.37127
293,152.85588
2,-26.097145
311,66.10284
2,24.402004
2208,2038.4901
1440,1618.0137
2479,2207.9001
0,-14.009561
15,74.49444
1193,904.0695
1716,1997.0652
50,66.29509
3161,3162.5518
47,109.51374
3435,3359.331
1931,1993.9254
2,17.057636
2116,2154.5107
24,94.797646
1427,1823.065
36,31.607347
2839,2878.6292
2433,2406.8362
15,50.210144
1059,1163.7775
2571,3216.886
55,80.17279
2575,2352.4739
1407,1759.5295
0,-77.68649
0,-8.990333
1,43.934334
1,108.38586
1896,2178.8079
1,-4.1510115
0,-46.112297
0,-54.208237
98,234.68953
1887,1624.1241
0,-8.548869
2062,2093.9495
39,44.115765
992,1034.0883
36,38.193115
0,-38.5975
0,-11.614644
374,526.7296
1860,2233.926
3608,3531.0505
2021,1790.0883
2344,2215.514
0,-10.951003
2815,2529.0317
3482,4069.804
0,-75.75188
3224,2641.3726
4200,4252.348
30,83.0293
3694,3478.4731
0,17.004404
194,147.50551
1105,1354.3016
2723,2596.3293
183,379.74265
0,25.925825
2767,2904.6707
0,-20.503496
263,183.7915
1298,1552.7334
1,165.8421
0,-29.92837
1,4.183066
34,67.19908
2149,2161.115
0,-33.679607
27,141.5755
155,102.0239
2621,2658.5022
3189,3502.3013
1,27.644331
2186,2560.589
1,45.35185
467,333.22565
608,594.45056
1,-8.242264
2550,1936.4354
95,178.68694
45,93.27248
0,-55.840153
3115,3857.6926
0,-30.212748
2630,2470.6787
3256,3729.1133
2,35.55384
1,22.675432
852,1128.7393
1718,1644.4182
1,-0.80447704
0,-57.457
1256,1429.4208
0,20.96007
2,22.89128
2199,1875.4728
3361,3133.79
0,-63.498886
0,51.120968
3167,3238.7803
244,405.69656
2901,2936.3735
1,47.32302
0,227.06511
578,405.67157
520,1438.9382
55,141.28085
2708,2969.4592
2225,2178.7837
1336,1433.7341
0,30.007858
2537,2400.4749
352,190.01405
2819,2260.7122
628,802.69257
433,390.75024
1730,2354.9695
388,382.49973
624,1067.7917
81,82.147545
1569,2112.5605
1,64.46188
4150,4219.6074
608,432.18518
2757,2688.3298
1021,1494.3783
1914,1419.2467
3467,2837.9797
236,175.4931
0,18.264837
3,34.43297
2629,2642.4983
2909,2440.8481
2473,2692.8735
4109,3780.0183
3033,2877.9885
0,4.295178
1685,1644.0933
0,-44.820717
0,-47.30858
2888,2714.5886
2382,2749.6655
448,859.2904
2350,2433.82
994,871.45264
3,-13.857161
777,701.9389
47,44.369556
0,-5.348379
165,303.20883
312,142.16801
4138,3680.2397
3454,3389.7744
4,69.08024
2043,2068.096
3987,3875.882
2675,2589.7947
2429,2156.283
4012,4153.7534
0,17.643303
3743,3328.9392
2900,3257.4285
1879,1889.3446
0,152.47626
250,115.499374
3,55.014263
0,-20.503496
0,4.25359
56,155.79012
2478,2470.8555
17,47.93169
2463,2458.1304
277,323.72748
0,27.518234
2682,2305.3503
0,-65.437935
2032,2171.134
3459,3464.3054
5,-48.287548
3696,3561.8108
886,1166.6127
329,534.27203
1,-62.21641
0,78.05649
1886,1659.9517
0,36.592823
3648,3577.943
1,7.6742268
3307,3456.264
0,25.858553
1668,1706.8479
46,-1.3012416
924,1014.52576
0,-8.480034
149,79.16241
244,214.96335
2201,2974.2239
1,51.25309
226,364.68594
4217,3841.041
1867,2244.2393
901,952.07086
894,1163.9154
1231,2514.5867
1,-10.106812
578,458.81458
0,-68.92889
2031,2505.3252
647,706.22473
2276,2173.1836
3,52.99397
981,927.3311
3642,3101.1016
3088,2736.3076
2673,3372.6848
1,19.765583
0,8.557064
3143,2970.1604
0,4.685577
618,739.39886
0,-13.746072
3573,2877.6543
41,25.801863
16,71.91455
1291,1659.8236
73,117.88053
2124,2207.5647
3434,2821.607
2582,2636.2524
1216,1125.0665
0,-20.207338
1532,1473.2164
3606,3772.5469
1,46.355713
2745,2803.6482
0,60.17842
75,241.79472
282,237.64784
1954,2248.867
3235,3207.732
4230,3764.6772
1287,1934.0654
2,73.88839
2870,2921.783
1,63.57636
3464,2846.669
3305,2860.9753
1126,1000.4557
1,176.3533
3124,3152.678
0,138.31369
0,-16.53843
14,59.1662
2371,2331.2344
0,-2.3189676
0,-14.903251
2753,2776.8167
0,-12.973091
