Actual,Predicted
3484,1229.3167
2,1596.4612
3339,516.7635
3339,1201.6632
4040,975.87976
4578,1311.5043
3681,766.5799
787,1450.4985
3,911.03156
1,767.94495
1587,909.3676
2272,972.9627
1528,840.2156
1,1268.6172
1,1075.667
645,1020.76263
3122,1239.953
1,1309.9949
1887,1547.9312
3600,1071.568
622,1634.3915
1,879.13354
1,1479.4047
1,871.1553
1987,1396.5256
2576,984.94995
2576,1535.4392
3355,1992.164
1219,2025.3599
1,1088.7058
1605,668.17
689,846.2249
994,1134.7571
1264,1904.2935
1264,1318.2224
129,1363.0094
129,842.3676
416,894.935
1157,1149.8916
1157,1133.6135
2137,1294.1057
2267,1460.0402
1952,1719.4298
181,1165.104
181,1463.33
1,750.32135
1727,576.0622
3517,1044.3472
3744,1989.4634
1,1240.4506
1592,911.7608
2721,761.202
2409,1037.3992
1470,1663.1608
1,1090.1333
33,1180.2048
2640,981.85065
2640,1298.9879
1955,1388.9689
1,1332.8909
1,1010.4654
43,1130.3965
3717,1346.7472
2936,663.59705
1,2035.7126
2433,1535.2509
181,1257.2638
181,848.48517
1,956.1966
32,1062.2643
1598,1074.67
252,1109.203
252,1584.6189
3107,920.75073
3076,1372.0234
2284,1071.7866
2767,978.9025
3062,875.63403
1,1724.5299
3574,1002.9239
2752,1355.1948
2752,1476.7783
3215,2089.1501
2619,1484.7954
924,2264.6284
1,1288.5127
1432,806.8934
4109,1686.3005
23,1986.8257
1,1100.112
1,1069.9093
3435,1058.8969
3435,1858.2256
1850,1502.597
1,1456.1082
1,1242.7845
1106,895.8993
3964,1459.8855
64,1424.4451
3390,1836.5507
3390,1897.7537
3476,2009.697
1,2848.8997
1,1467.0978
2546,1423.4462
4201,2104.44
4640,1561.5388
3735,2114.0635
1,2596.479
1,1216.4685
101,992.3134
101,1270.0165
1421,1158.1401
1421,1691.129
1617,1199.261
1,1489.9702
1,1244.791
1,971.86786
10,884.92847
10,1336.0911
264,774.7643
264,1461.1555
3365,1202.1924
138,1821.1033
138,1299.2026
2,595.37256
1,802.1336
1,644.2962
957,730.8138
3307,782.77106
1987,1225.9587
1,955.58936
1,574.9959
1939,598.41754
3707,496.49234
3212,664.5262
130,901.0689
130,474.65903
1,398.76538
2263,546.8985
3,700.5047
803,554.87604
2976,611.30585
159,1260.1545
159,838.1757
4,768.3964
2,747.1917
4425,758.1409
311,1319.0155
2192,1250.962
1,1017.09564
7,1132.0314
1308,653.9931
1125,1032.7697
1,873.1542
1,961.26526
3120,659.33563
1,1525.0957
1,833.4427
1027,934.3708
3588,682.9451
3847,1416.4337
5,1764.7909
3097,1002.99774
148,945.5641
148,871.9909
22,598.67554
2642,975.31134
2642,1092.542
3687,1271.4556
3573,1924.3986
2566,1668.3727
1,2347.63
869,985.8113
459,729.3604
149,1056.1306
1716,790.50415
2350,1069.218
1,1359.2087
33,1073.6454
1047,707.39594
1,1144.6742
1,719.2058
304,1213.0972
885,775.6567
2590,1803.7136
0,1406.0114
1,1476.3657
367,610.5345
1111,1151.4626
1991,1239.1809
3857,1072.6947
927,2027.4158
17,1173.971
433,748.8731
3357,723.12616
3357,781.44763
4463,1078.8439
4637,1822.3728
946,1953.2385
2021,1340.4465
2021,866.9898
2328,1456.4675
2164,1472.8583
1,1781.0859
975,673.5059
2936,865.26874
2602,1236.1664
42,2033.175
3115,2222.5723
1657,1612.732
16,2341.4146
1,1434.0862
1,1738.4124
0,706.462
1834,1198.6516
1834,1460.6421
1,1408.0242
412,678.75305
3047,984.5482
3047,1400.7733
3817,1983.7357
3322,1576.4501
47,1828.0427
431,1254.4061
3572,744.4271
4439,1485.891
4342,2317.644
265,2183.9534
265,999.67426
1,1059.3323
62,1392.984
1432,1488.6252
2521,1187.9623
3611,1097.6838
884,1405.4312
1,1021.84906
2654,1328.9646
21,1189.9115
1,1250.7483
2,1671.0939
3190,1496.078
1,1514.2963
1369,1437.5637
3535,1363.1298
3535,1777.355
4556,1268.9944
3105,1586.1814
2206,1009.8313
280,1076.554
280,1778.4607
1,1133.8148
1915,883.4441
1159,1124.7229
3323,1008.1059
3323,1689.1886
3724,1560.5338
3771,2251.7114
2456,2032.0969
1,1616.3127
1,1487.1433
1,816.7824
300,1299.7405
4461,1354.9287
1896,1756.7123
3227,1597.6359
2640,1296.0864
558,1620.2134
1,1998.7103
2511,1593.45
3,1638.0499
183,1504.1582
634,1553.1204
852,1894.2676
1,1779.0334
1,1741.4468
18,1503.3839
1137,1164.7795
2275,1572.9147
2924,1216.2217
1832,1790.6914
6,1383.9338
941,1214.3252
2111,711.9008
54,1208.1691
54,1147.9135
1796,1028.3848
1796,1157.1611
2432,933.3557
2323,1493.4314
166,1365.2717
166,648.53986
6,593.8239
1,623.2925
11,592.76324
1133,620.9262
3100,710.10895
2901,1335.5696
1,1665.8566
1,1049.4668
297,1003.81757
1016,1328.9049
1924,1426.6113
3539,597.4744
3,1509.4965
1,733.4919
585,446.36838
1888,958.4121
1236,672.639
1,822.9688
12,979.94946
795,553.8078
565,718.91644
1,1090.2395
1,932.48846
3140,1065.1943
2,1253.989
2013,1284.8947
189,974.72845
189,1514.0696
3322,547.1347
3683,727.1387
225,1744.8743
225,804.62506
2504,658.0146
1918,1413.2473
2,1459.3943
1,764.0841
1,403.191
32,770.5455
883,690.71014
1783,1035.6792
1331,897.2806
1,1175.3416
348,857.13025
3071,802.85297
2932,1679.3082
2127,1644.3362
1,1342.376
1,1030.1335
1,802.4218
2208,868.976
1,1265.583
904,905.09686
4,938.58685
4,959.28156
263,762.234
263,876.1431
474,504.22705
474,736.9187
185,480.71606
2003,754.54
2812,801.18097
1879,817.1716
2203,1121.4506
575,910.9185
16,530.60986
1,481.56076
1,645.22296
1,581.24146
42,328.18973
1,431.14542
2284,222.17795
3706,449.79526
3453,859.22815
3608,756.25653
3744,1733.2346
1670,2132.236
2703,838.7548
247,1196.8551
247,950.228
1,1072.5093
18,1031.4872
2575,1068.9791
1,1186.112
4505,913.7895
4656,911.29193
1,1962.6404
4026,966.7999
1155,886.31793
826,777.5751
3667,579.5948
1,1012.6304
3750,555.9368
1335,909.1718
268,1228.471
268,744.1973
2,1916.4547
1,1768.8906
1,1009.90204
3501,1018.56647
49,2421.6047
3713,318.96323
1071,752.5874
2,738.6672
1,295.43933
1,258.8822
1678,262.27237
1678,1095.8357
1,1015.69006
2038,297.29507
488,782.7689
2427,808.25525
4412,860.92816
2516,1480.1045
4060,1569.237
1774,2338.289
2847,1696.5521
1291,1028.6088
258,1348.4296
258,570.90265
75,718.6383
75,826.1867
18,1259.2859
5,592.2584
1955,443.7356
933,776.69336
9,998.55646
3357,269.46497
1,1048.0898
3061,787.9702
462,1198.9868
2545,1324.2609
1282,1324.6737
2703,1576.6838
1,1516.2058
1,1374.1094
1,1184.7568
52,1051.3628
303,1170.1047
426,873.117
4543,1015.2338
