Actual,Predicted
0,0.08
253,372.3
3153,3505.37
2,1.9
0,0.0
2203,2253.26
697,925.57
566,537.35
4077,3822.76
1,1.0
3945,4002.82
3519,3510.66
0,0.33
0,0.03
1661,1513.28
0,0.37
4488,4260.98
2,1.78
0,0.04
2755,2092.92
1508,1195.53
257,255.1
2,1.85
1829,1781.58
786,693.71
31,29.12
2239,2164.02
333,318.36
23,29.52
807,902.17
4,3.1
0,0.01
1,1.15
3772,3636.22
3271,3040.51
646,1034.13
2477,2280.63
2029,1747.8
2,1.32
2055,2159.57
1,1.0
2944,3091.81
0,0.01
0,0.09
4344,4298.18
7,8.57
2481,2193.65
1295,1449.35
0,0.59
1,0.15
3020,3132.77
0,0.02
1,1.32
5,5.3
553,838.29
2028,2155.3
2420,2260.83
1522,2078.37
0,0.02
2225,2333.93
4,2.2
3047,2719.89
1479,1451.62
2810,2764.81
3194,2851.79
3109,3148.38
1133,1402.82
1,0.54
0,0.03
1648,1609.53
4018,4113.55
1732,1563.82
686,576.38
0,0.16
1748,1986.17
216,214.11
1,1.07
2685,2773.21
0,0.03
1106,1149.5
1,1.18
2683,2471.9
0,0.0
0,0.08
69,55.2
225,225.04
0,0.07
0,0.0
3191,2960.4
1,1.06
3279,2764.7
295,291.32
3280,3162.81
474,507.32
623,763.48
2587,2448.98
1034,967.36
0,0.04
2812,2680.56
0,1.08
3290,2974.41
0,0.08
14,22.04
1,0.9
3149,3206.32
907,1341.41
258,262.28
1179,1003.95
337,337.53
3095,3200.82
1,3.08
538,501.42
2785,2783.61
0,0.01
2441,2722.8
1,0.0
3440,3296.31
2322,2419.89
1022,955.81
1179,995.3
1956,1852.6
1617,1637.04
2503,2406.14
3,2.86
2454,1941.08
1991,1796.18
19,28.62
595,525.0
0,0.25
3904,4020.79
1,0.54
1414,1383.02
2883,2882.16
835,735.01
266,286.84
1599,1250.02
24,22.87
0,0.0
24,79.34
3768,3319.95
4059,3920.97
0,0.0
0,0.13
0,0.81
0,0.0
809,831.5
2491,2785.4
1067,1042.22
1931,2170.4
3335,3173.28
0,1.56
12,14.63
0,0.35
1816,1621.12
3539,3767.78
1473,1277.73
1,1.1
293,294.52
2,1.0
311,234.22
2,2.32
2208,2145.24
1440,1793.92
2479,1971.1
0,0.01
15,16.84
1193,1070.92
1716,2097.76
50,54.65
3161,3184.33
47,43.38
3435,3436.72
1931,2236.91
2,1.16
2116,2117.87
24,29.7
1427,1580.12
36,33.7
2839,2789.4
2433,2363.21
15,16.56
1059,1239.55
2571,2858.99
55,65.34
2575,2203.95
1407,1805.04
0,1.2
0,0.32
1,0.97
1,1.5
1896,2213.94
1,0.59
0,0.34
0,0.01
98,103.34
1887,1571.96
0,0.61
2062,2024.93
39,35.09
992,861.67
36,33.33
0,0.27
