Actual,Predicted
280,259.44
3966,4003.05
2176,2419.88
4241,4124.2
94,232.05
2198,2050.7
1490,1815.53
4810,4509.26
1218,797.59
2980,2662.88
0,0.0
3449,3418.12
4164,3946.04
3837,3954.24
708,454.09
581,491.93
5451,4971.92
4927,5480.81
1576,2346.68
1078,1339.08
647,560.76
380,1319.68
0,0.0
295,298.39
1303,1435.5
1063,1370.54
3189,3284.4
2790,2532.25
984,1157.06
30,36.96
7123,5605.1
23,25.09
2675,2830.75
2572,2518.53
2,1.21
8695,8285.81
2703,2999.24
3194,3060.56
1196,1163.81
5733,5305.15
6109,5346.56
3201,3314.71
2,1.9
3547,3862.94
679,1163.23
1021,1021.98
1897,3146.36
4321,3374.9
0,0.27
298,572.09
715,1068.73
1735,2027.52
4459,4442.72
0,0.0
233,295.64
3013,2949.88
128,118.35
3336,2769.48
0,0.02
3630,3450.91
1417,1406.58
4279,3654.04
695,859.84
2218,2073.22
1300,1045.13
4432,4985.53
2745,2406.19
1217,1509.84
1,1.01
3028,2971.89
4241,4416.67
253,247.39
3091,2854.28
5165,5031.64
3178,3199.38
2,1.88
686,822.05
770,830.77
2110,1845.4
1,1.41
2166,2310.02
0,0.02
1,1.13
521,764.65
1234,1188.88
3147,3068.3
1788,1989.78
1,1.56
2670,2667.66
1,0.99
2229,3626.14
404,664.87
3423,3855.65
2814,3005.03
1,1.14
4034,3216.23
1373,1534.38
1942,1937.88
4765,4121.81
11279,9481.21
4222,3965.07
1790,1730.19
7996,6684.91
0,0.3
2454,2805.85
604,1778.86
619,727.58
1507,1744.33
1,0.14
3921,3823.83
1061,1274.13
24,43.63
62,53.73
4909,5500.67
0,0.06
0,1.64
4992,4447.56
2188,2002.79
4344,4191.27
1,0.98
2600,2599.73
5336,4354.81
0,0.08
31,43.7
4,3.15
967,1275.52
0,0.0
245,1107.28
4243,3554.89
1,1.12
2475,2841.72
2864,3149.84
2952,2460.26
4820,5131.7
5268,4232.06
705,720.25
3054,2833.2
1428,1556.71
2463,2456.46
1963,1721.94
5525,5357.73
952,1124.53
1846,1837.29
3429,3407.62
1912,1726.95
1756,1945.17
0,0.01
1089,1394.47
5185,5179.24
2,1.94
2647,2660.24
599,797.23
2731,2934.92
390,562.27
680,1102.14
1397,1354.15
0,0.46
1915,2351.29
1466,1499.32
3552,3473.11
1,1.01
341,412.16
2523,2658.0
0,0.0
12077,10083.31
2599,2030.83
4383,4068.24
711,2054.75
1572,2439.6
64,131.32
833,1353.68
2349,1851.49
1514,2918.71
3378,4635.59
9428,9100.5
0,0.03
1,1.05
3961,2284.18
1245,2919.91
3696,3362.26
0,0.15
6852,6377.07
3988,3862.34
0,0.0
1252,1320.14
632,853.02
2141,2527.64
4925,5736.11
4311,3762.2
24,23.91
358,326.87
0,0.0
10497,10387.19
4896,4084.5
1504,1559.57
965,864.11
2402,1954.76
3899,3904.55
4353,4093.25
3573,2820.15
3120,3739.79
4260,4601.92
95,69.86
1740,1884.26
282,259.49
2689,2637.16
2695,2825.41
1,0.0
2347,2170.59
2272,2493.72
1093,1203.38
4243,3965.96
515,858.02
647,750.13
3917,5120.4
247,220.16
2464,2497.06
1012,1154.54
640,639.04
1746,2679.16
1427,1454.03
878,732.92
1579,1455.96
26,26.36
15,12.86
1470,1197.03
482,758.07
1,0.07
3117,3264.49
2,0.28
1669,1990.65
2201,2304.31
1091,1379.17
434,1460.23
2,1.9
4297,4298.36
3245,3272.82
3482,3328.62
44,32.79
1639,1491.4
16,30.48
4203,4451.06
7355,7259.78
1292,1213.72
2127,2250.89
1661,1815.99
834,1274.34
690,757.83
787,793.44
4207,4893.21
95,185.94
1273,1354.76
2886,2342.24
0,0.04
7954,7815.67
29,42.1
3800,3143.63
31,35.47
6631,6157.88
15,17.14
2992,2905.13
3078,3374.96
207,723.69
2,1.53
72,67.99
205,210.91
689,926.85
7374,7050.34
3331,2954.09
0,0.0
3,3.06
2854,2655.13
2,1.56
2481,2039.0
0,0.02
2820,2252.38
2217,1953.46
7148,6230.78
1046,1670.66
5912,3582.22
1,0.79
1786,1890.04
1,1.42
1721,1681.97
1989,1940.84
1,1.23
358,294.75
1,1.0
4,2.37
41,31.79
17,18.08
2097,2371.92
71,95.68
2029,1808.55
3573,2896.84
1266,1136.32
3033,2955.97
1549,1520.88
1069,1306.18
6070,5068.97
1,0.59
1042,1065.17
899,1032.41
927,1376.32
2919,2917.41
2864,2857.02
0,0.05
1,1.36
3556,3007.73
9832,9784.7
529,415.89
3671,3328.65
2245,2082.77
6389,5299.26
1536,1794.7
4690,3539.97
1576,1687.7
0,0.48
2964,3338.5
1877,1827.61
0,0.04
1,1.0
3385,4052.49
2935,3728.07
1236,1620.34
908,738.57
1522,2135.0
0,0.51
0,0.74
3403,2965.24
14,13.88
2958,2780.94
0,0.16
1,0.83
4316,3682.55
1357,1269.92
260,460.62
1362,1452.94
0,0.0
2432,2332.52
749,786.51
253,400.0
2835,2653.9
38,27.17
2866,2785.42
873,721.34
2974,2887.15
1931,2019.75
36,30.54
7680,7270.1
2275,2785.57
3041,3300.27
3689,3264.18
691,758.02
3480,3553.0
2700,2746.69
8118,7673.34
1794,1784.3
317,295.76
55,57.58
2654,2755.61
433,533.74
777,853.52
0,0.0
1,0.75
2963,2731.27
1,1.44
997,1095.81
144,639.78
9241,9212.66
1112,1387.0
1114,1596.91
1168,3284.83
2054,2350.42
1756,1950.93
2835,2750.4
33,36.6
2051,2884.27
0,77.38
0,1.68
753,1337.3
2416,2191.39
848,1677.65
2,1.4
768,841.39
1,0.91
4381,4680.79
2194,2986.66
3331,3175.9
23,29.01
2713,2198.55
0,0.0
61,56.79
8492,8077.68
1399,1801.93
416,491.92
3726,3841.85
5718,4702.58
2,1.72
979,1429.29
555,524.5
3122,2940.3
754,747.75
1,1.02
9987,9648.21
1818,1720.47
47,42.61
7987,6880.9
3483,3883.97
2279,3263.63
4820,4518.28
8,3.69
2581,3100.69
2259,2125.23
2198,2488.2
2522,2549.75
4184,4079.28
2381,2328.99
3509,3291.17
0,0.0
534,867.28
1501,1602.93
647,621.33
3880,4104.62
4925,4909.03
1497,2309.41
2622,2499.55
587,857.27
961,814.76
2618,3137.15
0,0.02
3350,3468.48
6702,6265.27
0,0.03
4608,3979.73
3587,3224.65
31,30.38
1424,1429.21
1138,1246.76
2943,2236.68
1742,2270.53
1570,1491.52
2686,2734.63
1084,1749.2
882,1218.07
1573,1477.94
1598,1878.13
2415,2248.97
7211,4016.29
1758,1425.12
2392,2520.86
981,1213.98
3071,3890.73
3045,3015.25
1911,2238.5
0,4.54
10239,8417.54
1361,1199.96
396,776.85
13,12.19
1376,1071.7
1549,1504.22
0,0.0
681,811.28
1846,1729.46
3527,3270.96
10175,9258.46
10924,9933.96
5079,4738.39
435,376.34
2702,2819.87
37,30.5
3161,3211.93
1298,1306.14
550,2048.76
3524,3250.83
2376,2405.04
4538,4171.22
529,811.07
5228,5021.82
8041,7221.89
2257,2351.74
0,0.12
1923,2194.96
3034,3314.52
4537,4228.61
4398,3852.38
1681,1882.74
3121,2730.18
1748,2726.76
0,0.03
242,703.87
6159,5696.94
5626,5152.96
982,1091.28
2,1.48
276,284.14
1269,1574.52
999,1013.54
3717,4982.93
0,1.2
193,489.31
3491,3340.54
1795,1994.1
1,0.3
3687,3679.13
749,677.08
3408,3297.74
1,0.52
4410,3992.63
2119,2417.9
578,513.7
3763,3567.49
3499,3281.3
1953,2117.12
2290,1756.0
2490,2425.27
142,116.59
3244,3809.44
793,1473.54
726,988.32
987,1706.37
646,853.4
1,0.89
1417,1427.22
2950,2849.75
1920,2022.62
3086,3104.99
10481,10485.42
290,529.63
1,0.74
4901,4650.61
2675,2774.73
1233,1470.29
2060,1770.12
1802,2043.37
6568,6634.01
3797,3739.02
3365,3626.04
160,368.28
1229,1566.06
1319,1657.82
4125,3752.33
2967,2389.94
558,1866.35
282,778.54
2692,2283.99
2411,2522.35
2312,2059.42
1028,1261.71
2839,2803.74
1247,1338.5
7254,7328.17
744,1307.18
1377,1319.92
901,797.46
3350,3540.23
1649,1564.67
3297,2954.35
1495,1809.71
1,1.0
3527,3688.08
817,813.29
9234,8740.75
5207,4618.41
2628,2494.66
802,899.18
0,0.02
34,36.1
1585,1438.0
2481,2064.82
728,820.76
421,675.35
3289,3188.84
4818,4602.13
0,0.01
6516,6424.56
421,447.79
137,333.97
1083,1032.92
1299,1490.64
1780,2172.4
794,982.77
3687,3281.71
1268,1550.07
1,0.99
1422,1496.49
8983,8651.28
7834,7171.9
474,493.19
1835,1595.05
3859,3825.12
1,1.0
4790,4336.7
95,123.38
84,80.17
2305,2356.4
4103,3996.45
3126,2894.84
348,342.55
2942,2667.03
997,1323.29
975,913.07
2049,2128.94
3113,2927.92
0,0.67
3529,3531.78
3760,4661.24
345,345.55
1890,1961.52
371,392.0
361,451.61
1502,2128.66
1685,1681.48
5966,5494.55
1,0.75
1787,1939.46
136,143.78
3194,3159.06
222,365.19
2897,2680.1
1991,1820.07
4525,4211.61
1972,2482.12
1214,1389.39
0,0.0
2142,2289.36
847,1023.06
1578,1704.55
3695,4558.65
2493,3107.12
578,1065.71
2366,2767.44
1455,1685.29
571,1032.05
1404,1339.51
6617,5567.73
1755,2018.37
2540,2564.69
1154,1447.59
2032,1739.5
1842,2048.99
674,484.58
836,903.41
618,671.71
1816,1473.91
2477,2414.96
2657,2838.27
1954,1872.68
4663,4422.43
2,1.0
3181,5304.66
3736,3935.64
913,1416.92
3318,2625.09
2053,1988.29
1610,2175.58
626,815.37
3675,3340.64
4982,4698.86
2008,2474.4
2841,3187.11
7588,7944.2
4046,3159.03
3280,3295.56
1562,1605.08
4225,4162.59
1219,1623.39
205,259.93
4074,3777.67
444,2070.82
3762,5077.87
3448,3804.82
6466,6507.28
347,344.7
3290,3238.31
617,498.93
81,101.69
5078,5331.66
1157,1621.65
9966,8556.76
2525,2508.17
2495,2372.12
2767,2680.82
1215,1600.5
6576,6490.39
5040,5325.62
302,760.16
1552,1904.16
87,98.07
4555,5063.9
8973,8150.02
3133,2993.93
2557,2395.86
1619,1658.89
3,3.1
2948,2769.68
1620,1802.13
2088,3194.99
3,2.27
1448,1272.48
6970,6679.58
3032,2775.22
1334,1304.22
2050,1768.81
799,1092.91
752,1142.39
2924,2439.64
1679,2629.59
1227,1416.03
1114,1113.23
2563,2531.68
3787,3412.27
2741,2718.49
5984,5970.21
2705,2767.53
6432,5794.65
6999,6809.57
1,0.68
1,1.18
1987,1897.0
1795,2542.74
0,0.77
1,0.28
4225,4018.46
3261,3507.26
1426,1888.67
4443,5321.9
1037,2431.09
803,1286.67
34,28.53
2354,4228.44
1714,1734.98
1,0.82
1,3.25
11345,10376.85
4008,3904.61
7250,6934.33
1,0.97
2225,2586.21
3551,3433.05
4505,4220.43
1482,1337.67
3377,3443.99
0,0.01
4111,3889.43
1552,1850.66
4,2.48
0,0.1
2600,2344.1
1628,1641.58
1011,1643.8
957,2092.37
1478,2175.72
21,34.87
396,445.93
1042,933.21
0,0.03
4959,5477.47
1776,2435.23
1,1.59
3,1.45
368,710.92
50,69.65
1855,1718.15
1265,1132.62
4446,4403.08
0,0.49
4773,6137.51
2289,2205.75
1353,1232.51
2668,2342.43
2907,2861.0
2934,2955.19
4052,4483.34
2216,2668.04
3181,3083.16
1268,1823.19
3199,2851.03
5086,5165.94
1763,1780.49
1011,1362.91
1265,1579.31
1558,1521.58
4085,3986.16
1,1.88
3253,3361.68
3014,3299.75
4993,4477.26
3072,2747.19
3257,4469.22
1157,1305.48
3801,3885.53
4133,3685.83
2231,2251.58
3056,3144.46
741,1186.8
1131,1415.44
1,1.3
8875,8434.69
1358,1701.61
2409,2787.71
1116,1026.47
1583,1572.66
1907,1807.7
1298,1371.82
4353,4145.54
3,4.38
4123,3398.99
1015,1220.61
1,1.0
2,1.0
0,0.01
3617,3477.25
1018,906.97
1356,1469.84
1308,1546.53
3673,3395.2
1,0.3
1,0.98
2709,2354.43
1,1.0
1995,2470.68
1210,1309.17
3519,3394.96
3279,2699.66
3907,2819.61
7550,6941.56
2630,2474.55
248,201.61
2087,1951.77
4331,3818.46
4412,4189.05
5498,5047.53
28,31.34
3248,3403.43
1,0.09
101,129.72
3274,2689.05
378,767.67
0,2.39
5266,4971.22
1299,1130.06
2097,2893.41
8118,7768.64
1254,1533.49
1291,1326.4
17,16.79
2868,2772.35
1,1.06
2665,3367.72
2936,2653.54
1738,1823.22
253,248.97
3611,3559.04
3989,3564.41
1973,2201.99
3145,4008.58
189,204.65
0,0.05
3801,4123.52
1133,1252.67
157,708.01
1982,1765.54
1144,1455.58
2959,2820.83
2411,2070.16
192,195.93
3623,3258.67
2238,2191.73
3534,3595.49
583,686.26
2150,2505.77
1644,2705.29
2490,3103.49
626,709.73
3484,2681.07
611,626.29
1225,1675.78
6759,5458.41
4111,4111.63
5373,5132.03
2200,2586.21
300,388.46
2304,2832.42
2831,3695.26
0,0.4
1408,1554.77
932,1217.08
975,906.97
1178,1564.84
1959,2051.88
1188,1525.43
1,1.37
2454,2063.51
0,0.1
3343,2938.05
2708,2501.79
563,472.16
894,737.33
856,968.54
1243,1338.19
3996,4411.61
1840,1960.19
2068,2138.56
5072,5166.32
0,0.01
2876,2787.86
408,370.47
1867,1677.22
1,1.0
4777,4705.88
2697,2622.63
1352,1264.61
1739,1564.88
3165,2870.96
3349,2640.33
711,998.2
2611,2724.97
4392,4508.4
2565,2528.62
3105,2257.84
3323,3682.33
6590,6512.45
1783,2036.78
0,0.63
637,1030.08
7029,6178.7
565,1213.7
0,0.05
98,124.65
4331,3845.24
0,0.28
2513,2189.72
3843,3267.87
7477,6985.65
2900,3209.12
6228,5396.92
0,0.03
5787,5153.69
2749,2644.95
1067,612.13
14,12.13
2172,2617.38
2298,2285.24
319,469.85
0,0.72
2805,2156.7
2504,2365.77
861,662.39
1919,2220.38
2219,2128.05
20,21.19
295,520.63
2380,2282.26
1251,1825.17
521,1057.12
7102,6109.84
900,1694.99
4790,4826.79
3725,3451.16
86,104.5
3455,3406.46
2098,1956.42
1798,1705.12
2209,1594.05
163,214.86
0,0.06
7458,7062.86
10234,9637.05
3245,3271.26
2781,2605.43
2100,2485.54
0,0.03
295,242.97
0,0.09
0,1.86
1488,1680.68
0,0.07
1365,1309.3
0,1.45
1592,1533.46
0,0.02
1,1.01
5139,4835.24
338,341.03
3259,2905.75
857,1530.4
0,0.84
4207,4234.5
0,0.0
