brand,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,clearance-volume-per-cylinder
alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.1,48.80,2548,dohc,4.0,130.0,mpfi,3.4699999999999998,3.4366438724591015,9.0,111,5000,21,27,13495,0.0
alfa-romero,gas,std,two,convertible,rwd,front,88.60,168.80,64.1,48.80,2548,dohc,4.0,130.0,mpfi,3.4699999999999998,3.4366438724591015,9.0,111,5000,21,27,16500,0.0
alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6.0,152.0,mpfi,3.048853037042996,3.4699999999999998,9.0,154,5000,19,26,16500,-4.736951571734001e-15
audi,gas,std,four,sedan,fwd,front,99.80,176.60,66.2,54.3,2337,ohc,4.0,109.0,mpfi,3.19,3.4,10.0,102,5500,24,30,13950,0.07621314813417257
audi,gas,std,four,sedan,4wd,front,99.4,176.60,66.4,54.3,2824,ohc,5.0,136.0,mpfi,3.19,3.4,8.0,115,5500,18,22,17450,0.026213148134166885
audi,gas,std,two,sedan,fwd,front,99.80,177.3,66.3,53.1,2507,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,0.026213148134166885
audi,gas,std,four,sedan,fwd,front,105.80,192.70,71.4,55.70,2844,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,0.026213148134166885
audi,gas,std,four,wagon,fwd,front,105.80,192.70,71.4,55.70,2954,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,0.026213148134166885
audi,gas,turbo,four,sedan,fwd,front,105.80,192.70,71.4,55.90,3086,ohc,5.0,131.0,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,0.038811292239239494
bmw,gas,std,two,sedan,rwd,front,101.2,176.80,64.80,54.3,2395,ohc,4.0,108.0,mpfi,3.5,2.806323894518318,5.46875,101,5800,23,29,16430,0.0
bmw,gas,std,four,sedan,rwd,front,101.2,176.80,64.80,54.3,2395,ohc,4.0,108.0,mpfi,3.5,2.806323894518318,5.46875,101,5800,23,29,16925,0.0
bmw,gas,std,two,sedan,rwd,front,101.2,176.80,64.80,54.3,2710,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,21,28,20970,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,101.2,176.80,64.80,54.3,2765,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,21,28,21105,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.90,55.70,3055,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,121,4250,20,25,24565,-0.116300276082787
bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.90,55.70,3230,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,16,22,30760,-4.736951571734001e-15
bmw,gas,std,two,sedan,rwd,front,103.5,193.80,67.90,53.70,3380,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,16,22,41315,-4.736951571734001e-15
bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.90,56.3,3505,ohc,6.0,209.0,mpfi,3.6170351405463768,3.39,8.0,182,5400,15,20,36880,-4.736951571734001e-15
chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3.0,61.0,2bbl,2.923062054481632,3.03,9.5,48,5100,47,53,5151,-2.3684757858670005e-15
chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.90,63.60,52.0,1874,ohc,4.0,90.0,2bbl,3.03,3.11,4.734375,70,5400,38,43,6295,0.07484118517618299
chevrolet,gas,std,four,sedan,fwd,front,94.5,158.80,63.60,52.0,1909,ohc,4.0,90.0,2bbl,3.03,3.11,4.734375,70,5400,38,43,6575,0.07484118517618299
dodge,gas,std,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,1876,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.41,68,5500,37,41,5572,0.0
dodge,gas,std,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,1876,ohc,4.0,90.0,2bbl,2.9781396397918334,3.23,9.4,68,5500,31,38,6377,0.0
dodge,gas,turbo,two,hatchback,fwd,front,93.70,157.3,63.80,50.80,2128,ohc,4.0,98.0,mpfi,3.03,3.39,4.734375,102,5500,24,30,7957,0.05585582564220459
