timestamp,Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName,GHI,DNI,Wind_Speed_2m,Wind_Direction_2m,Temp_2m,RH_2m,Pressure,wind_speed_50m,wind_direction_50m,temp_50m,density_VT,pressure_VT,ri_number,rh_50m,rmol_VT
7/22/2020 20:00,2020-07-22 20:00:00+02:00,7/22/2020,20:00:00,21:00:00,Solar,244,204,Wednesday,July,0,0,1,311,22,87.71,983,6.9,242,19.9,1.12,943.2,0.35,81.5,0.006
7/22/2020 20:00,2020-07-22 20:00:00+02:00,7/22/2020,20:00:00,21:00:00,Solar,244,204,Wednesday,July,0,0,1,311,22,87.71,983,4.8,29,23.7,1.1,940.5,0.2,84.9,0.0041
7/23/2020 7:00,2020-07-23 07:00:00+02:00,7/23/2020,7:00:00,8:00:00,Solar,223,205,Thursday,July,296,516,1.8,324,21.2,72.79,982,10.3,1,19.7,1.12,939.4,0.24,71,0.0004
7/23/2020 16:00,2020-07-23 16:00:00+02:00,7/23/2020,16:00:00,17:00:00,Solar,2517,205,Thursday,July,482,413,1.1,22,30.2,32.89,978,3.7,59,23.9,1.1,938.1,-7.27,59.7,-0.0238
7/23/2020 19:00,2020-07-23 19:00:00+02:00,7/23/2020,19:00:00,20:00:00,Solar,658,205,Thursday,July,65,24,0.5,64,25.4,54.9,978,2.5,41,23.3,1.1,937.4,-1.02,62.1,-0.0222
7/23/2020 23:00,2020-07-23 23:00:00+02:00,7/23/2020,23:00:00,24:00:00,Solar,0,205,Thursday,July,0,0,2,332,21.1,57.91,979,3.6,296,23.4,1.1,937.1,0.29,58.1,0.0382
7/24/2020 4:00,2020-07-24 04:00:00+02:00,7/24/2020,4:00:00,5:00:00,Solar,0,206,Friday,July,0,0,0.8,6,17.6,76.8,979,10.5,354,20.9,1.11,936.7,0.4,47.4,0.0031
7/24/2020 5:00,2020-07-24 05:00:00+02:00,7/24/2020,5:00:00,6:00:00,Solar,0,206,Friday,July,6,0,1,170,18.5,74.07,979,10.6,352,20.4,1.11,936.9,0.37,46.9,0.003
7/24/2020 10:00,2020-07-24 10:00:00+02:00,7/24/2020,10:00:00,11:00:00,Solar,2708,206,Friday,July,782,864,3.6,347,26.8,40.11,979,8.7,345,23.4,1.1,936.7,0.64,44.9,0.006
7/24/2020 10:00,2020-07-24 10:00:00+02:00,7/24/2020,10:00:00,11:00:00,Solar,2708,206,Friday,July,782,864,3.6,347,26.8,40.11,979,7.4,16,20.5,1.11,937.8,-0.45,60.8,-0.0081
7/24/2020 14:00,2020-07-24 14:00:00+02:00,7/24/2020,14:00:00,15:00:00,Solar,3851,206,Friday,July,626,214,3,178,29,32.32,979,5,45,22.2,1.11,937.8,-2.37,56.4,-0.016
7/24/2020 16:00,2020-07-24 16:00:00+02:00,7/24/2020,16:00:00,17:00:00,Solar,3261,206,Friday,July,589,818,2.7,6,28.5,32,978,5.3,45,22.7,1.1,937.6,-1.37,52.9,-0.0119
